,Country Name,Country Code,Indicator Name,Indicator Code,Date,rural
5348,Bolivia,BOL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5349,Brazil,BRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5350,Barbados,BRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5351,Brunei Darussalam,BRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5352,Bhutan,BTN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5353,Botswana,BWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5354,Central African Republic,CAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5355,Canada,CAN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5356,Central Europe and the Baltics,CEB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5357,Switzerland,CHE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5358,Channel Islands,CHI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5359,Chile,CHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5360,China,CHN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5361,Cote d'Ivoire,CIV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5362,Cameroon,CMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5363,"Congo, Dem. Rep.",COD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5364,"Congo, Rep.",COG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5365,Colombia,COL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5366,Comoros,COM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5367,Cabo Verde,CPV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5368,Costa Rica,CRI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5369,Caribbean small states,CSS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5370,Cuba,CUB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5371,Curacao,CUW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5372,Cayman Islands,CYM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5373,Cyprus,CYP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5374,Czech Republic,CZE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5375,Germany,DEU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5376,Djibouti,DJI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5377,Dominica,DMA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5378,Denmark,DNK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5379,Dominican Republic,DOM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5380,Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5381,East Asia & Pacific (excluding high income),EAP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5382,Early-demographic dividend,EAR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5383,East Asia & Pacific,EAS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5384,Europe & Central Asia (excluding high income),ECA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5385,Europe & Central Asia,ECS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5386,Ecuador,ECU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5387,"Egypt, Arab Rep.",EGY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5388,Euro area,EMU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5389,Eritrea,ERI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5390,Spain,ESP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5391,Estonia,EST,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5392,Ethiopia,ETH,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5393,European Union,EUU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5394,Fragile and conflict affected situations,FCS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5395,Finland,FIN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5396,Fiji,FJI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5397,France,FRA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5398,Faroe Islands,FRO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5399,"Micronesia, Fed. Sts.",FSM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5400,Gabon,GAB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5401,United Kingdom,GBR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5402,Georgia,GEO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5403,Ghana,GHA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5404,Gibraltar,GIB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5405,Guinea,GIN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5406,"Gambia, The",GMB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5407,Guinea-Bissau,GNB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5408,Equatorial Guinea,GNQ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5409,Greece,GRC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5410,Grenada,GRD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5411,Greenland,GRL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5412,Guatemala,GTM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5413,Guam,GUM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5414,Guyana,GUY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5415,High income,HIC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5416,"Hong Kong SAR, China",HKG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5417,Honduras,HND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5418,Heavily indebted poor countries (HIPC),HPC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5419,Croatia,HRV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5420,Haiti,HTI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5421,Hungary,HUN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5422,IBRD only,IBD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5423,IDA & IBRD total,IBT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5424,IDA total,IDA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5425,IDA blend,IDB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5426,Indonesia,IDN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5427,IDA only,IDX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5428,Isle of Man,IMN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5429,India,IND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5430,Not classified,INX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5431,Ireland,IRL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5432,"Iran, Islamic Rep.",IRN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5433,Iraq,IRQ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5434,Iceland,ISL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5435,Israel,ISR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5436,Italy,ITA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5437,Jamaica,JAM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5438,Jordan,JOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5439,Japan,JPN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5440,Kazakhstan,KAZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5441,Kenya,KEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5442,Kyrgyz Republic,KGZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5443,Cambodia,KHM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5444,Kiribati,KIR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5445,St. Kitts and Nevis,KNA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5446,"Korea, Rep.",KOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5447,Kuwait,KWT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5448,Latin America & Caribbean (excluding high income),LAC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5449,Lao PDR,LAO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5450,Lebanon,LBN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5451,Liberia,LBR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5452,Libya,LBY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5453,St. Lucia,LCA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5454,Latin America & Caribbean,LCN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5455,Least developed countries: UN classification,LDC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5456,Low income,LIC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5457,Liechtenstein,LIE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5458,Sri Lanka,LKA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5459,Lower middle income,LMC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5460,Low & middle income,LMY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5461,Lesotho,LSO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5462,Late-demographic dividend,LTE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5463,Lithuania,LTU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5464,Luxembourg,LUX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5465,Latvia,LVA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5466,"Macao SAR, China",MAC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5467,St. Martin (French part),MAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5468,Morocco,MAR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5469,Monaco,MCO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5470,Moldova,MDA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5471,Madagascar,MDG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5472,Maldives,MDV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5473,Middle East & North Africa,MEA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5474,Mexico,MEX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5475,Marshall Islands,MHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5476,Middle income,MIC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5477,North Macedonia,MKD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5478,Mali,MLI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5479,Malta,MLT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5480,Myanmar,MMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5481,Middle East & North Africa (excluding high income),MNA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5482,Montenegro,MNE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5483,Mongolia,MNG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5484,Northern Mariana Islands,MNP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5485,Mozambique,MOZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5486,Mauritania,MRT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5487,Mauritius,MUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5488,Malawi,MWI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5489,Malaysia,MYS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5490,North America,NAC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5491,Namibia,NAM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5492,New Caledonia,NCL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5493,Niger,NER,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5494,Nigeria,NGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5495,Nicaragua,NIC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5496,Netherlands,NLD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5497,Norway,NOR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5498,Nepal,NPL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5499,Nauru,NRU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5500,New Zealand,NZL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5501,OECD members,OED,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5502,Oman,OMN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5503,Other small states,OSS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5504,Pakistan,PAK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5505,Panama,PAN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5506,Peru,PER,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5507,Philippines,PHL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5508,Palau,PLW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5509,Papua New Guinea,PNG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5510,Poland,POL,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5511,Pre-demographic dividend,PRE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5512,Puerto Rico,PRI,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5513,"Korea, Dem. People's Rep.",PRK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5514,Portugal,PRT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5515,Paraguay,PRY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5516,West Bank and Gaza,PSE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5517,Pacific island small states,PSS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5518,Post-demographic dividend,PST,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5519,French Polynesia,PYF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5520,Qatar,QAT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5521,Romania,ROU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5522,Russian Federation,RUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5523,Rwanda,RWA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5524,South Asia,SAS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5525,Saudi Arabia,SAU,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5526,Sudan,SDN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5527,Senegal,SEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5528,Singapore,SGP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5529,Solomon Islands,SLB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5530,Sierra Leone,SLE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5531,El Salvador,SLV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5532,San Marino,SMR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5533,Somalia,SOM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5534,Serbia,SRB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5535,Sub-Saharan Africa (excluding high income),SSA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5536,South Sudan,SSD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5537,Sub-Saharan Africa,SSF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5538,Small states,SST,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5539,Sao Tome and Principe,STP,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5540,Suriname,SUR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5541,Slovak Republic,SVK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5542,Slovenia,SVN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5543,Sweden,SWE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5544,Eswatini,SWZ,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5545,Sint Maarten (Dutch part),SXM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5546,Seychelles,SYC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5547,Syrian Arab Republic,SYR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5548,Turks and Caicos Islands,TCA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5549,Chad,TCD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5550,East Asia & Pacific (IDA & IBRD countries),TEA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5551,Europe & Central Asia (IDA & IBRD countries),TEC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5552,Togo,TGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5553,Thailand,THA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5554,Tajikistan,TJK,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5555,Turkmenistan,TKM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5556,Latin America & the Caribbean (IDA & IBRD countries),TLA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5557,Timor-Leste,TLS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5558,Middle East & North Africa (IDA & IBRD countries),TMN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5559,Tonga,TON,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5560,South Asia (IDA & IBRD),TSA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5561,Sub-Saharan Africa (IDA & IBRD countries),TSS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5562,Trinidad and Tobago,TTO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5563,Tunisia,TUN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5564,Turkey,TUR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5565,Tuvalu,TUV,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5566,Tanzania,TZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5567,Uganda,UGA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5568,Ukraine,UKR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5569,Upper middle income,UMC,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5570,Uruguay,URY,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5571,United States,USA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5572,Uzbekistan,UZB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5573,St. Vincent and the Grenadines,VCT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5574,"Venezuela, RB",VEN,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5575,British Virgin Islands,VGB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5576,Virgin Islands (U.S.),VIR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5577,Vietnam,VNM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5578,Vanuatu,VUT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5579,World,WLD,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5580,Samoa,WSM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5581,Kosovo,XKX,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5582,"Yemen, Rep.",YEM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5583,South Africa,ZAF,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5584,Zambia,ZMB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5585,Zimbabwe,ZWE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1980,
5586,Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5587,Africa Eastern and Southern,AFE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5588,Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5589,Africa Western and Central,AFW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5590,Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5591,Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5592,Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5593,Arab World,ARB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5594,United Arab Emirates,ARE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5595,Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5596,Armenia,ARM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5597,American Samoa,ASM,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5598,Antigua and Barbuda,ATG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5599,Australia,AUS,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
5600,Austria,AUT,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1981,
